RUN	Servicios.ObtenerCiudades	obtenerciudades	1569514514643	1	3.0.2
USER	SmokeTest	42	START	1569514522595	1569514522595
REQUEST	37		SmokeTest	1569514522228	1569514522968	OK	 
USER	SmokeTest	37	END	1569514522225	1569514522977
REQUEST	38		SmokeTest	1569514522231	1569514522977	OK	 
USER	SmokeTest	43	START	1569514522978	1569514522978
USER	SmokeTest	38	END	1569514522230	1569514522986
USER	SmokeTest	44	START	1569514522989	1569514522989
REQUEST	40		SmokeTest	1569514522391	1569514523078	OK	 
USER	SmokeTest	40	END	1569514522389	1569514523085
USER	SmokeTest	45	START	1569514523085	1569514523085
REQUEST	39		SmokeTest	1569514522349	1569514523131	OK	 
USER	SmokeTest	39	END	1569514522348	1569514523139
USER	SmokeTest	46	START	1569514523140	1569514523140
REQUEST	41		SmokeTest	1569514522461	1569514523228	OK	 
USER	SmokeTest	41	END	1569514522460	1569514523236
USER	SmokeTest	47	START	1569514523239	1569514523239
REQUEST	42		SmokeTest	1569514522596	1569514523347	OK	 
USER	SmokeTest	42	END	1569514522595	1569514523355
USER	SmokeTest	48	START	1569514523356	1569514523356
REQUEST	44		SmokeTest	1569514522993	1569514523782	OK	 
USER	SmokeTest	44	END	1569514522989	1569514523788
USER	SmokeTest	49	START	1569514523788	1569514523788
REQUEST	46		SmokeTest	1569514523142	1569514523836	OK	 
USER	SmokeTest	46	END	1569514523140	1569514523842
USER	SmokeTest	50	START	1569514523842	1569514523842
REQUEST	45		SmokeTest	1569514523086	1569514523854	OK	 
USER	SmokeTest	45	END	1569514523085	1569514523860
USER	SmokeTest	51	START	1569514523860	1569514523860
REQUEST	47		SmokeTest	1569514523252	1569514523936	OK	 
USER	SmokeTest	47	END	1569514523239	1569514523943
USER	SmokeTest	52	START	1569514523944	1569514523944
REQUEST	43		SmokeTest	1569514522987	1569514523943	OK	 
USER	SmokeTest	43	END	1569514522978	1569514523949
USER	SmokeTest	53	START	1569514523949	1569514523949
REQUEST	48		SmokeTest	1569514523360	1569514524299	OK	 
USER	SmokeTest	48	END	1569514523356	1569514524305
USER	SmokeTest	54	START	1569514524305	1569514524305
REQUEST	50		SmokeTest	1569514523844	1569514524529	OK	 
USER	SmokeTest	50	END	1569514523842	1569514524535
USER	SmokeTest	55	START	1569514524535	1569514524535
REQUEST	51		SmokeTest	1569514523861	1569514524553	OK	 
USER	SmokeTest	51	END	1569514523860	1569514524558
USER	SmokeTest	56	START	1569514524558	1569514524558
REQUEST	52		SmokeTest	1569514523945	1569514524634	OK	 
USER	SmokeTest	52	END	1569514523944	1569514524638
USER	SmokeTest	57	START	1569514524638	1569514524638
REQUEST	53		SmokeTest	1569514523950	1569514524641	OK	 
USER	SmokeTest	53	END	1569514523949	1569514524648
USER	SmokeTest	58	START	1569514524649	1569514524649
REQUEST	49		SmokeTest	1569514523789	1569514524725	OK	 
USER	SmokeTest	49	END	1569514523788	1569514524732
USER	SmokeTest	59	START	1569514524732	1569514524732
REQUEST	54		SmokeTest	1569514524306	1569514525082	OK	 
USER	SmokeTest	54	END	1569514524305	1569514525086
USER	SmokeTest	60	START	1569514525086	1569514525086
REQUEST	55		SmokeTest	1569514524536	1569514525225	OK	 
USER	SmokeTest	55	END	1569514524535	1569514525232
USER	SmokeTest	61	START	1569514525233	1569514525233
REQUEST	57		SmokeTest	1569514524639	1569514525333	OK	 
USER	SmokeTest	57	END	1569514524638	1569514525340
USER	SmokeTest	62	START	1569514525341	1569514525341
REQUEST	56		SmokeTest	1569514524559	1569514525343	OK	 
USER	SmokeTest	56	END	1569514524558	1569514525354
REQUEST	58		SmokeTest	1569514524649	1569514525354	OK	 
USER	SmokeTest	63	START	1569514525356	1569514525356
USER	SmokeTest	58	END	1569514524649	1569514525362
USER	SmokeTest	64	START	1569514525362	1569514525362
REQUEST	59		SmokeTest	1569514524735	1569514525417	OK	 
USER	SmokeTest	59	END	1569514524732	1569514525421
USER	SmokeTest	65	START	1569514525422	1569514525422
REQUEST	60		SmokeTest	1569514525087	1569514525766	OK	 
USER	SmokeTest	60	END	1569514525086	1569514525781
USER	SmokeTest	66	START	1569514525782	1569514525782
REQUEST	61		SmokeTest	1569514525234	1569514525913	OK	 
USER	SmokeTest	61	END	1569514525233	1569514525918
USER	SmokeTest	67	START	1569514525918	1569514525918
REQUEST	65		SmokeTest	1569514525422	1569514526103	OK	 
USER	SmokeTest	65	END	1569514525422	1569514526107
USER	SmokeTest	68	START	1569514526107	1569514526107
REQUEST	63		SmokeTest	1569514525357	1569514526138	OK	 
USER	SmokeTest	63	END	1569514525356	1569514526144
USER	SmokeTest	69	START	1569514526144	1569514526144
REQUEST	62		SmokeTest	1569514525342	1569514526145	OK	 
USER	SmokeTest	62	END	1569514525341	1569514526152
USER	SmokeTest	70	START	1569514526152	1569514526152
REQUEST	64		SmokeTest	1569514525364	1569514526428	OK	 
USER	SmokeTest	64	END	1569514525362	1569514526433
USER	SmokeTest	71	START	1569514526433	1569514526433
REQUEST	66		SmokeTest	1569514525784	1569514526473	OK	 
USER	SmokeTest	66	END	1569514525782	1569514526479
USER	SmokeTest	72	START	1569514526479	1569514526479
REQUEST	67		SmokeTest	1569514525919	1569514526642	OK	 
USER	SmokeTest	67	END	1569514525918	1569514526653
USER	SmokeTest	73	START	1569514526655	1569514526655
REQUEST	68		SmokeTest	1569514526109	1569514526780	OK	 
USER	SmokeTest	68	END	1569514526107	1569514526786
USER	SmokeTest	74	START	1569514526786	1569514526786
REQUEST	70		SmokeTest	1569514526153	1569514526846	OK	 
USER	SmokeTest	70	END	1569514526152	1569514526856
USER	SmokeTest	75	START	1569514526856	1569514526856
REQUEST	69		SmokeTest	1569514526145	1569514526931	OK	 
USER	SmokeTest	69	END	1569514526144	1569514526937
USER	SmokeTest	76	START	1569514526937	1569514526937
REQUEST	71		SmokeTest	1569514526434	1569514527116	OK	 
USER	SmokeTest	71	END	1569514526433	1569514527123
USER	SmokeTest	77	START	1569514527123	1569514527123
REQUEST	72		SmokeTest	1569514526480	1569514527253	OK	 
USER	SmokeTest	72	END	1569514526479	1569514527258
USER	SmokeTest	78	START	1569514527258	1569514527258
REQUEST	73		SmokeTest	1569514526658	1569514527440	OK	 
USER	SmokeTest	73	END	1569514526655	1569514527446
USER	SmokeTest	79	START	1569514527446	1569514527446
REQUEST	74		SmokeTest	1569514526786	1569514527570	OK	 
USER	SmokeTest	74	END	1569514526786	1569514527601
USER	SmokeTest	80	START	1569514527601	1569514527601
REQUEST	75		SmokeTest	1569514526857	1569514527650	OK	 
USER	SmokeTest	75	END	1569514526856	1569514527655
USER	SmokeTest	81	START	1569514527656	1569514527656
REQUEST	76		SmokeTest	1569514526938	1569514527711	OK	 
USER	SmokeTest	76	END	1569514526937	1569514527718
USER	SmokeTest	82	START	1569514527718	1569514527718
REQUEST	78		SmokeTest	1569514527259	1569514528024	OK	 
USER	SmokeTest	78	END	1569514527258	1569514528031
USER	SmokeTest	83	START	1569514528031	1569514528031
REQUEST	79		SmokeTest	1569514527447	1569514528227	OK	 
USER	SmokeTest	79	END	1569514527446	1569514528234
USER	SmokeTest	84	START	1569514528234	1569514528234
REQUEST	80		SmokeTest	1569514527602	1569514528297	OK	 
