RUN	Servicios.ObtenerCiudades	obtenerciudades	1569854219966	 	3.0.2
USER	SmokeTest	74	START	1569854231897	1569854231897
USER	SmokeTest	75	START	1569854231999	1569854231999
REQUEST	67		SmokeTest	1569854231123	1569854232032	OK	 
USER	SmokeTest	67	END	1569854231121	1569854232033
REQUEST	68		SmokeTest	1569854231242	1569854232089	OK	 
USER	SmokeTest	68	END	1569854231239	1569854232090
USER	SmokeTest	76	START	1569854232098	1569854232098
REQUEST	69		SmokeTest	1569854231348	1569854232168	OK	 
USER	SmokeTest	69	END	1569854231347	1569854232169
USER	SmokeTest	77	START	1569854232197	1569854232197
USER	SmokeTest	78	START	1569854232297	1569854232297
REQUEST	70		SmokeTest	1569854231461	1569854232304	OK	 
USER	SmokeTest	70	END	1569854231460	1569854232305
USER	SmokeTest	79	START	1569854232399	1569854232399
REQUEST	71		SmokeTest	1569854231571	1569854232422	OK	 
USER	SmokeTest	71	END	1569854231571	1569854232423
USER	SmokeTest	80	START	1569854232498	1569854232498
USER	SmokeTest	81	START	1569854232597	1569854232597
REQUEST	72		SmokeTest	1569854231681	1569854232614	OK	 
USER	SmokeTest	72	END	1569854231680	1569854232615
REQUEST	74		SmokeTest	1569854231898	1569854232642	OK	 
USER	SmokeTest	74	END	1569854231897	1569854232642
USER	SmokeTest	82	START	1569854232702	1569854232702
USER	SmokeTest	83	START	1569854232801	1569854232801
REQUEST	75		SmokeTest	1569854232000	1569854232865	OK	 
USER	SmokeTest	75	END	1569854231999	1569854232866
USER	SmokeTest	84	START	1569854232880	1569854232880
USER	SmokeTest	85	START	1569854232968	1569854232968
USER	SmokeTest	86	START	1569854233057	1569854233057
REQUEST	77		SmokeTest	1569854232197	1569854233078	OK	 
USER	SmokeTest	77	END	1569854232197	1569854233078
REQUEST	78		SmokeTest	1569854232298	1569854233087	OK	 
USER	SmokeTest	78	END	1569854232297	1569854233088
USER	SmokeTest	87	START	1569854233147	1569854233147
USER	SmokeTest	88	START	1569854233240	1569854233240
REQUEST	79		SmokeTest	1569854232399	1569854233248	OK	 
USER	SmokeTest	79	END	1569854232399	1569854233249
REQUEST	76		SmokeTest	1569854232099	1569854233250	OK	 
USER	SmokeTest	76	END	1569854232098	1569854233251
USER	SmokeTest	89	START	1569854233328	1569854233328
REQUEST	81		SmokeTest	1569854232598	1569854233348	OK	 
USER	SmokeTest	81	END	1569854232597	1569854233349
USER	SmokeTest	90	START	1569854233422	1569854233422
REQUEST	80		SmokeTest	1569854232498	1569854233511	OK	 
USER	SmokeTest	80	END	1569854232498	1569854233512
USER	SmokeTest	91	START	1569854233521	1569854233521
USER	SmokeTest	92	START	1569854233610	1569854233610
REQUEST	83		SmokeTest	1569854232802	1569854233666	OK	 
USER	SmokeTest	83	END	1569854232801	1569854233667
REQUEST	84		SmokeTest	1569854232880	1569854233680	OK	 
USER	SmokeTest	84	END	1569854232880	1569854233681
USER	SmokeTest	93	START	1569854233698	1569854233698
REQUEST	73		SmokeTest	1569854231787	1569854233745	OK	 
USER	SmokeTest	73	END	1569854231787	1569854233746
USER	SmokeTest	94	START	1569854233787	1569854233787
REQUEST	85		SmokeTest	1569854232969	1569854233814	OK	 
USER	SmokeTest	85	END	1569854232968	1569854233815
USER	SmokeTest	95	START	1569854233897	1569854233897
REQUEST	87		SmokeTest	1569854233147	1569854233901	OK	 
USER	SmokeTest	87	END	1569854233147	1569854233902
REQUEST	86		SmokeTest	1569854233058	1569854233954	OK	 
USER	SmokeTest	86	END	1569854233057	1569854233955
USER	SmokeTest	96	START	1569854234003	1569854234003
REQUEST	88		SmokeTest	1569854233241	1569854234064	OK	 
USER	SmokeTest	88	END	1569854233240	1569854234065
REQUEST	89		SmokeTest	1569854233329	1569854234092	OK	 
USER	SmokeTest	89	END	1569854233328	1569854234092
USER	SmokeTest	97	START	1569854234101	1569854234101
REQUEST	90		SmokeTest	1569854233423	1569854234179	OK	 
USER	SmokeTest	90	END	1569854233422	1569854234179
USER	SmokeTest	98	START	1569854234197	1569854234197
REQUEST	82		SmokeTest	1569854232702	1569854234272	OK	 
USER	SmokeTest	82	END	1569854232702	1569854234273
USER	SmokeTest	99	START	1569854234302	1569854234302
REQUEST	91		SmokeTest	1569854233522	1569854234348	OK	 
USER	SmokeTest	91	END	1569854233521	1569854234348
USER	SmokeTest	100	START	1569854234401	1569854234401
REQUEST	92		SmokeTest	1569854233611	1569854234404	OK	 
USER	SmokeTest	92	END	1569854233610	1569854234405
REQUEST	93		SmokeTest	1569854233699	1569854234441	OK	 
USER	SmokeTest	93	END	1569854233698	1569854234442
USER	SmokeTest	101	START	1569854234499	1569854234499
USER	SmokeTest	102	START	1569854234604	1569854234604
REQUEST	94		SmokeTest	1569854233787	1569854234645	OK	 
USER	SmokeTest	94	END	1569854233787	1569854234646
USER	SmokeTest	103	START	1569854234697	1569854234697
USER	SmokeTest	104	START	1569854234799	1569854234799
REQUEST	95		SmokeTest	1569854233898	1569854234883	OK	 
USER	SmokeTest	95	END	1569854233897	1569854234884
USER	SmokeTest	105	START	1569854234887	1569854234887
REQUEST	96		SmokeTest	1569854234003	1569854234905	OK	 
USER	SmokeTest	96	END	1569854234003	1569854234906
USER	SmokeTest	106	START	1569854234980	1569854234980
REQUEST	97		SmokeTest	1569854234101	1569854235004	OK	 
USER	SmokeTest	97	END	1569854234101	1569854235005
REQUEST	99		SmokeTest	1569854234302	1569854235062	OK	 
USER	SmokeTest	99	END	1569854234302	1569854235063
USER	SmokeTest	107	START	1569854235071	1569854235071
REQUEST	98		SmokeTest	1569854234197	1569854235078	OK	 
USER	SmokeTest	98	END	1569854234197	1569854235079
REQUEST	100		SmokeTest	1569854234402	1569854235129	OK	 
USER	SmokeTest	100	END	1569854234401	1569854235129
USER	SmokeTest	108	START	1569854235158	1569854235158
REQUEST	101		SmokeTest	1569854234499	1569854235246	OK	 
USER	SmokeTest	101	END	1569854234499	1569854235247
USER	SmokeTest	109	START	1569854235253	1569854235253
USER	SmokeTest	110	START	1569854235347	1569854235347
REQUEST	102		SmokeTest	1569854234605	1569854235360	OK	 
USER	SmokeTest	102	END	1569854234604	1569854235361
USER	SmokeTest	111	START	1569854235437	1569854235437
REQUEST	103		SmokeTest	1569854234698	1569854235510	OK	 
USER	SmokeTest	103	END	1569854234697	1569854235511
USER	SmokeTest	112	START	1569854235530	1569854235530
REQUEST	104		SmokeTest	1569854234800	1569854235555	OK	 
USER	SmokeTest	104	END	1569854234799	1569854235556
USER	SmokeTest	113	START	1569854235620	1569854235620
REQUEST	105		SmokeTest	1569854234888	1569854235674	OK	 
USER	SmokeTest	105	END	1569854234887	1569854235675
USER	SmokeTest	114	START	1569854235710	1569854235710
USER	SmokeTest	115	START	1569854235797	1569854235797
REQUEST	107		SmokeTest	1569854235072	1569854235857	OK	 
USER	SmokeTest	107	END	1569854235071	1569854235857
USER	SmokeTest	116	START	1569854235891	1569854235891
REQUEST	106		SmokeTest	1569854234981	1569854235920	OK	 
USER	SmokeTest	106	END	1569854234980	1569854235921
REQUEST	108		SmokeTest	1569854235158	1569854235948	OK	 
USER	SmokeTest	108	END	1569854235158	1569854235948
USER	SmokeTest	117	START	1569854235968	1569854235968
REQUEST	109		SmokeTest	1569854235254	1569854236034	OK	 
USER	SmokeTest	109	END	1569854235253	1569854236035
USER	SmokeTest	118	START	1569854236052	1569854236052
USER	SmokeTest	119	START	1569854236139	1569854236139
REQUEST	110		SmokeTest	1569854235348	1569854236204	OK	 
USER	SmokeTest	110	END	1569854235347	1569854236205
USER	SmokeTest	120	START	1569854236221	1569854236221
USER	SmokeTest	121	START	1569854236299	1569854236299
REQUEST	111		SmokeTest	1569854235438	1569854236305	OK	 
USER	SmokeTest	111	END	1569854235437	1569854236306
USER	SmokeTest	122	START	1569854236387	1569854236387
REQUEST	113		SmokeTest	1569854235621	1569854236407	OK	 
USER	SmokeTest	113	END	1569854235620	1569854236408
REQUEST	112		SmokeTest	1569854235530	1569854236434	OK	 
USER	SmokeTest	112	END	1569854235530	1569854236435
USER	SmokeTest	123	START	1569854236467	1569854236467
USER	SmokeTest	124	START	1569854236550	1569854236550
REQUEST	115		SmokeTest	1569854235798	1569854236564	OK	 
USER	SmokeTest	115	END	1569854235797	1569854236565
USER	SmokeTest	125	START	1569854236640	1569854236640
REQUEST	116		SmokeTest	1569854235892	1569854236652	OK	 
USER	SmokeTest	116	END	1569854235891	1569854236653
REQUEST	117		SmokeTest	1569854235968	1569854236765	OK	 
USER	SmokeTest	126	START	1569854236720	1569854236720
USER	SmokeTest	117	END	1569854235968	1569854236765
USER	SmokeTest	127	START	1569854236798	1569854236798
REQUEST	118		SmokeTest	1569854236052	1569854236888	OK	 
USER	SmokeTest	118	END	1569854236052	1569854236889
USER	SmokeTest	128	START	1569854236892	1569854236892
USER	SmokeTest	129	START	1569854236969	1569854236969
REQUEST	120		SmokeTest	1569854236221	1569854236973	OK	 
USER	SmokeTest	120	END	1569854236221	1569854236974
REQUEST	119		SmokeTest	1569854236140	1569854237033	OK	 
USER	SmokeTest	119	END	1569854236139	1569854237034
USER	SmokeTest	130	START	1569854237047	1569854237047
REQUEST	121		SmokeTest	1569854236300	1569854237094	OK	 
USER	SmokeTest	121	END	1569854236299	1569854237096
REQUEST	114		SmokeTest	1569854235711	1569854237130	OK	 
USER	SmokeTest	114	END	1569854235710	1569854237131
USER	SmokeTest	131	START	1569854237137	1569854237137
REQUEST	122		SmokeTest	1569854236387	1569854237171	OK	 
USER	SmokeTest	122	END	1569854236387	1569854237173
USER	SmokeTest	132	START	1569854237221	1569854237221
REQUEST	123		SmokeTest	1569854236467	1569854237244	OK	 
USER	SmokeTest	123	END	1569854236467	1569854237246
USER	SmokeTest	133	START	1569854237300	1569854237300
USER	SmokeTest	134	START	1569854237390	1569854237390
REQUEST	124		SmokeTest	1569854236550	1569854237417	OK	 
USER	SmokeTest	124	END	1569854236550	1569854237418
USER	SmokeTest	135	START	1569854237467	1569854237467
REQUEST	126		SmokeTest	1569854236765	1569854237532	OK	 
USER	SmokeTest	126	END	1569854236720	1569854237534
USER	SmokeTest	136	START	1569854237552	1569854237552
REQUEST	128		SmokeTest	1569854236893	1569854237642	OK	 
USER	SmokeTest	128	END	1569854236892	1569854237643
USER	SmokeTest	137	START	1569854237644	1569854237644
REQUEST	127		SmokeTest	1569854236799	1569854237686	OK	 
USER	SmokeTest	127	END	1569854236798	1569854237687
USER	SmokeTest	138	START	1569854237719	1569854237719
REQUEST	129		SmokeTest	1569854236969	1569854237772	OK	 
USER	SmokeTest	129	END	1569854236969	1569854237773
REQUEST	130		SmokeTest	1569854237048	1569854237785	OK	 
USER	SmokeTest	130	END	1569854237047	1569854237786
USER	SmokeTest	139	START	1569854237797	1569854237797
USER	SmokeTest	140	START	1569854237880	1569854237880
USER	SmokeTest	141	START	1569854237958	1569854237958
REQUEST	132		SmokeTest	1569854237223	1569854237994	OK	 
USER	SmokeTest	132	END	1569854237221	1569854237994
USER	SmokeTest	142	START	1569854238032	1569854238032
REQUEST	131		SmokeTest	1569854237138	1569854238063	OK	 
USER	SmokeTest	131	END	1569854237137	1569854238063
REQUEST	133		SmokeTest	1569854237301	1569854238086	OK	 
USER	SmokeTest	133	END	1569854237300	1569854238087
USER	SmokeTest	143	START	1569854238111	1569854238111
REQUEST	134		SmokeTest	1569854237391	1569854238131	OK	 
USER	SmokeTest	134	END	1569854237390	1569854238132
USER	SmokeTest	144	START	1569854238188	1569854238188
USER	SmokeTest	145	START	1569854238257	1569854238257
USER	SmokeTest	146	START	1569854238339	1569854238339
REQUEST	135		SmokeTest	1569854237468	1569854238377	OK	 
USER	SmokeTest	135	END	1569854237467	1569854238378
REQUEST	136		SmokeTest	1569854237552	1569854238390	OK	 
USER	SmokeTest	136	END	1569854237552	1569854238390
USER	SmokeTest	147	START	1569854238423	1569854238423
REQUEST	138		SmokeTest	1569854237719	1569854238484	OK	 
USER	SmokeTest	138	END	1569854237719	1569854238485
REQUEST	137		SmokeTest	1569854237644	1569854238488	OK	 
USER	SmokeTest	137	END	1569854237644	1569854238489
USER	SmokeTest	148	START	1569854238498	1569854238498
USER	SmokeTest	149	START	1569854238567	1569854238567
REQUEST	139		SmokeTest	1569854237797	1569854238582	OK	 
USER	SmokeTest	139	END	1569854237797	1569854238583
USER	SmokeTest	150	START	1569854238651	1569854238651
REQUEST	140		SmokeTest	1569854237881	1569854238729	OK	 
USER	SmokeTest	151	START	1569854238730	1569854238730
USER	SmokeTest	140	END	1569854237880	1569854238730
REQUEST	125		SmokeTest	1569854236640	1569854238766	OK	 
USER	SmokeTest	125	END	1569854236640	1569854238766
USER	SmokeTest	152	START	1569854238798	1569854238798
REQUEST	142		SmokeTest	1569854238033	1569854238813	OK	 
USER	SmokeTest	142	END	1569854238032	1569854238814
USER	SmokeTest	153	START	1569854238881	1569854238881
REQUEST	141		SmokeTest	1569854237959	1569854238928	OK	 
USER	SmokeTest	141	END	1569854237958	1569854238928
REQUEST	143		SmokeTest	1569854238112	1569854238956	OK	 
USER	SmokeTest	143	END	1569854238111	1569854238957
USER	SmokeTest	154	START	1569854238960	1569854238960
REQUEST	144		SmokeTest	1569854238189	1569854239001	OK	 
USER	SmokeTest	144	END	1569854238188	1569854239001
USER	SmokeTest	155	START	1569854239027	1569854239027
REQUEST	145		SmokeTest	1569854238257	1569854239092	OK	 
USER	SmokeTest	145	END	1569854238257	1569854239093
USER	SmokeTest	156	START	1569854239109	1569854239109
USER	SmokeTest	157	START	1569854239189	1569854239189
REQUEST	146		SmokeTest	1569854238339	1569854239192	OK	 
USER	SmokeTest	146	END	1569854238339	1569854239193
USER	SmokeTest	158	START	1569854239262	1569854239262
USER	SmokeTest	159	START	1569854239340	1569854239340
REQUEST	148		SmokeTest	1569854238499	1569854239340	OK	 
USER	SmokeTest	148	END	1569854238498	1569854239341
REQUEST	149		SmokeTest	1569854238568	1569854239365	OK	 
USER	SmokeTest	149	END	1569854238567	1569854239366
USER	SmokeTest	160	START	1569854239419	1569854239419
REQUEST	150		SmokeTest	1569854238651	1569854239424	OK	 
USER	SmokeTest	150	END	1569854238651	1569854239424
REQUEST	147		SmokeTest	1569854238423	1569854239430	OK	 
USER	SmokeTest	147	END	1569854238423	1569854239431
REQUEST	151		SmokeTest	1569854238730	1569854239476	OK	 
USER	SmokeTest	151	END	1569854238730	1569854239477
USER	SmokeTest	161	START	1569854239497	1569854239497
REQUEST	152		SmokeTest	1569854238798	1569854239550	OK	 
USER	SmokeTest	152	END	1569854238798	1569854239551
USER	SmokeTest	162	START	1569854239571	1569854239571
USER	SmokeTest	163	START	1569854239649	1569854239649
REQUEST	153		SmokeTest	1569854238882	1569854239727	OK	 
USER	SmokeTest	153	END	1569854238881	1569854239727
USER	SmokeTest	164	START	1569854239731	1569854239731
REQUEST	155		SmokeTest	1569854239027	1569854239746	OK	 
USER	SmokeTest	155	END	1569854239027	1569854239747
USER	SmokeTest	165	START	1569854239797	1569854239797
REQUEST	154		SmokeTest	1569854238960	1569854239823	OK	 
USER	SmokeTest	154	END	1569854238960	1569854239825
REQUEST	156		SmokeTest	1569854239110	1569854239841	OK	 
USER	SmokeTest	156	END	1569854239109	1569854239842
USER	SmokeTest	166	START	1569854239882	1569854239882
USER	SmokeTest	167	START	1569854239959	1569854239959
REQUEST	157		SmokeTest	1569854239189	1569854240028	OK	 
USER	SmokeTest	157	END	1569854239189	1569854240029
USER	SmokeTest	168	START	1569854240032	1569854240032
REQUEST	158		SmokeTest	1569854239262	1569854240051	OK	 
USER	SmokeTest	158	END	1569854239262	1569854240051
USER	SmokeTest	169	START	1569854240110	1569854240110
USER	SmokeTest	170	START	1569854240188	1569854240188
REQUEST	160		SmokeTest	1569854239424	1569854240212	OK	 
USER	SmokeTest	160	END	1569854239419	1569854240213
REQUEST	159		SmokeTest	1569854239341	1569854240230	OK	 
USER	SmokeTest	159	END	1569854239340	1569854240231
USER	SmokeTest	171	START	1569854240258	1569854240258
REQUEST	161		SmokeTest	1569854239497	1569854240301	OK	 
USER	SmokeTest	161	END	1569854239497	1569854240302
REQUEST	162		SmokeTest	1569854239572	1569854240339	OK	 
USER	SmokeTest	162	END	1569854239571	1569854240340
USER	SmokeTest	172	START	1569854240341	1569854240341
USER	SmokeTest	173	START	1569854240419	1569854240419
