RUN	Servicios.ObtenerCiudades	obtenerciudades	1569854219966	 	3.0.2
USER	SmokeTest	1	START	1569854221806	1569854221806
USER	SmokeTest	2	START	1569854222047	1569854222047
USER	SmokeTest	3	START	1569854222247	1569854222247
USER	SmokeTest	4	START	1569854222450	1569854222450
USER	SmokeTest	5	START	1569854222654	1569854222654
USER	SmokeTest	6	START	1569854222857	1569854222857
REQUEST	2		SmokeTest	1569854222048	1569854222842	OK	 
REQUEST	1		SmokeTest	1569854221851	1569854222872	OK	 
USER	SmokeTest	2	END	1569854222047	1569854222886
USER	SmokeTest	1	END	1569854221806	1569854222886
USER	SmokeTest	7	START	1569854223060	1569854223060
REQUEST	3		SmokeTest	1569854222248	1569854223130	OK	 
USER	SmokeTest	3	END	1569854222247	1569854223131
USER	SmokeTest	8	START	1569854223263	1569854223263
REQUEST	4		SmokeTest	1569854222451	1569854223283	OK	 
USER	SmokeTest	4	END	1569854222450	1569854223291
REQUEST	5		SmokeTest	1569854222654	1569854223449	OK	 
USER	SmokeTest	5	END	1569854222654	1569854223451
USER	SmokeTest	9	START	1569854223466	1569854223466
USER	SmokeTest	10	START	1569854223657	1569854223657
REQUEST	6		SmokeTest	1569854222858	1569854223743	OK	 
USER	SmokeTest	6	END	1569854222857	1569854223745
USER	SmokeTest	11	START	1569854223857	1569854223857
USER	SmokeTest	12	START	1569854223950	1569854223950
REQUEST	7		SmokeTest	1569854223060	1569854223986	OK	 
USER	SmokeTest	7	END	1569854223060	1569854223988
REQUEST	8		SmokeTest	1569854223264	1569854224087	OK	 
USER	SmokeTest	8	END	1569854223263	1569854224088
USER	SmokeTest	13	START	1569854224091	1569854224091
USER	SmokeTest	14	START	1569854224232	1569854224232
REQUEST	9		SmokeTest	1569854223467	1569854224347	OK	 
USER	SmokeTest	9	END	1569854223466	1569854224348
USER	SmokeTest	15	START	1569854224391	1569854224391
USER	SmokeTest	16	START	1569854224517	1569854224517
REQUEST	10		SmokeTest	1569854223658	1569854224580	OK	 
USER	SmokeTest	10	END	1569854223657	1569854224584
REQUEST	11		SmokeTest	1569854223857	1569854224649	OK	 
USER	SmokeTest	11	END	1569854223857	1569854224650
USER	SmokeTest	17	START	1569854224657	1569854224657
REQUEST	12		SmokeTest	1569854223952	1569854224788	OK	 
USER	SmokeTest	12	END	1569854223950	1569854224790
USER	SmokeTest	18	START	1569854224797	1569854224797
REQUEST	13		SmokeTest	1569854224092	1569854224899	OK	 
USER	SmokeTest	13	END	1569854224091	1569854224901
USER	SmokeTest	19	START	1569854224969	1569854224969
USER	SmokeTest	20	START	1569854225141	1569854225141
REQUEST	15		SmokeTest	1569854224392	1569854225246	OK	 
USER	SmokeTest	15	END	1569854224391	1569854225248
USER	SmokeTest	21	START	1569854225298	1569854225298
REQUEST	14		SmokeTest	1569854224232	1569854225342	OK	 
USER	SmokeTest	14	END	1569854224232	1569854225344
REQUEST	16		SmokeTest	1569854224520	1569854225401	OK	 
USER	SmokeTest	16	END	1569854224517	1569854225403
USER	SmokeTest	22	START	1569854225468	1569854225468
REQUEST	17		SmokeTest	1569854224658	1569854225592	OK	 
USER	SmokeTest	17	END	1569854224657	1569854225593
USER	SmokeTest	23	START	1569854225640	1569854225640
REQUEST	19		SmokeTest	1569854224970	1569854225703	OK	 
USER	SmokeTest	19	END	1569854224969	1569854225717
USER	SmokeTest	24	START	1569854225800	1569854225800
USER	SmokeTest	25	START	1569854225941	1569854225941
USER	SmokeTest	26	START	1569854226092	1569854226092
REQUEST	21		SmokeTest	1569854225298	1569854226133	OK	 
USER	SmokeTest	21	END	1569854225298	1569854226134
USER	SmokeTest	27	START	1569854226227	1569854226227
REQUEST	20		SmokeTest	1569854225142	1569854226252	OK	 
USER	SmokeTest	20	END	1569854225141	1569854226254
USER	SmokeTest	28	START	1569854226369	1569854226369
REQUEST	22		SmokeTest	1569854225470	1569854226376	OK	 
USER	SmokeTest	22	END	1569854225468	1569854226377
REQUEST	23		SmokeTest	1569854225641	1569854226384	OK	 
USER	SmokeTest	23	END	1569854225640	1569854226385
REQUEST	18		SmokeTest	1569854224798	1569854226399	OK	 
USER	SmokeTest	18	END	1569854224797	1569854226400
USER	SmokeTest	29	START	1569854226515	1569854226515
USER	SmokeTest	30	START	1569854226657	1569854226657
REQUEST	24		SmokeTest	1569854225801	1569854226718	OK	 
USER	SmokeTest	24	END	1569854225800	1569854226720
USER	SmokeTest	31	START	1569854226797	1569854226797
REQUEST	25		SmokeTest	1569854225942	1569854226824	OK	 
USER	SmokeTest	25	END	1569854225941	1569854226825
REQUEST	26		SmokeTest	1569854226093	1569854226897	OK	 
USER	SmokeTest	26	END	1569854226092	1569854226899
USER	SmokeTest	32	START	1569854226931	1569854226931
REQUEST	27		SmokeTest	1569854226228	1569854226992	OK	 
USER	SmokeTest	27	END	1569854226227	1569854226993
USER	SmokeTest	33	START	1569854227050	1569854227050
USER	SmokeTest	34	START	1569854227184	1569854227184
REQUEST	28		SmokeTest	1569854226370	1569854227198	OK	 
USER	SmokeTest	28	END	1569854226369	1569854227200
USER	SmokeTest	35	START	1569854227297	1569854227297
USER	SmokeTest	36	START	1569854227427	1569854227427
REQUEST	29		SmokeTest	1569854226516	1569854227465	OK	 
USER	SmokeTest	29	END	1569854226515	1569854227467
REQUEST	30		SmokeTest	1569854226657	1569854227500	OK	 
USER	SmokeTest	30	END	1569854226657	1569854227502
REQUEST	31		SmokeTest	1569854226797	1569854227536	OK	 
USER	SmokeTest	31	END	1569854226797	1569854227538
USER	SmokeTest	37	START	1569854227547	1569854227547
USER	SmokeTest	38	START	1569854227677	1569854227677
USER	SmokeTest	39	START	1569854227800	1569854227800
REQUEST	33		SmokeTest	1569854227051	1569854227882	OK	 
USER	SmokeTest	33	END	1569854227050	1569854227884
USER	SmokeTest	40	START	1569854227930	1569854227930
REQUEST	32		SmokeTest	1569854226932	1569854227939	OK	 
USER	SmokeTest	32	END	1569854226931	1569854227941
USER	SmokeTest	41	START	1569854228047	1569854228047
REQUEST	34		SmokeTest	1569854227185	1569854228049	OK	 
USER	SmokeTest	34	END	1569854227184	1569854228050
USER	SmokeTest	42	START	1569854228177	1569854228177
REQUEST	36		SmokeTest	1569854227427	1569854228250	OK	 
USER	SmokeTest	36	END	1569854227427	1569854228252
USER	SmokeTest	43	START	1569854228302	1569854228302
REQUEST	35		SmokeTest	1569854227298	1569854228322	OK	 
USER	SmokeTest	35	END	1569854227297	1569854228324
REQUEST	38		SmokeTest	1569854227678	1569854228427	OK	 
USER	SmokeTest	38	END	1569854227677	1569854228428
USER	SmokeTest	44	START	1569854228431	1569854228431
REQUEST	37		SmokeTest	1569854227547	1569854228447	OK	 
USER	SmokeTest	37	END	1569854227547	1569854228448
USER	SmokeTest	45	START	1569854228549	1569854228549
REQUEST	39		SmokeTest	1569854227801	1569854228663	OK	 
USER	SmokeTest	39	END	1569854227800	1569854228669
USER	SmokeTest	46	START	1569854228678	1569854228678
REQUEST	40		SmokeTest	1569854227931	1569854228743	OK	 
USER	SmokeTest	40	END	1569854227930	1569854228746
USER	SmokeTest	47	START	1569854228800	1569854228800
REQUEST	41		SmokeTest	1569854228047	1569854228876	OK	 
USER	SmokeTest	41	END	1569854228047	1569854228880
USER	SmokeTest	48	START	1569854228930	1569854228930
REQUEST	42		SmokeTest	1569854228178	1569854228936	OK	 
USER	SmokeTest	42	END	1569854228177	1569854228942
USER	SmokeTest	49	START	1569854229053	1569854229053
REQUEST	43		SmokeTest	1569854228302	1569854229153	OK	 
USER	SmokeTest	43	END	1569854228302	1569854229155
USER	SmokeTest	50	START	1569854229180	1569854229180
REQUEST	44		SmokeTest	1569854228432	1569854229273	OK	 
USER	SmokeTest	44	END	1569854228431	1569854229275
USER	SmokeTest	51	START	1569854229301	1569854229301
REQUEST	45		SmokeTest	1569854228550	1569854229390	OK	 
USER	SmokeTest	45	END	1569854228549	1569854229396
USER	SmokeTest	52	START	1569854229430	1569854229430
REQUEST	46		SmokeTest	1569854228678	1569854229557	OK	 
USER	SmokeTest	46	END	1569854228678	1569854229561
USER	SmokeTest	53	START	1569854229558	1569854229558
REQUEST	47		SmokeTest	1569854228801	1569854229682	OK	 
USER	SmokeTest	47	END	1569854228800	1569854229688
USER	SmokeTest	54	START	1569854229683	1569854229683
USER	SmokeTest	55	START	1569854229802	1569854229802
REQUEST	48		SmokeTest	1569854228933	1569854229922	OK	 
USER	SmokeTest	56	START	1569854229921	1569854229921
USER	SmokeTest	48	END	1569854228930	1569854229924
USER	SmokeTest	57	START	1569854230031	1569854230031
REQUEST	49		SmokeTest	1569854229053	1569854230082	OK	 
USER	SmokeTest	49	END	1569854229053	1569854230083
USER	SmokeTest	58	START	1569854230140	1569854230140
USER	SmokeTest	59	START	1569854230247	1569854230247
REQUEST	51		SmokeTest	1569854229301	1569854230309	OK	 
USER	SmokeTest	51	END	1569854229301	1569854230310
REQUEST	50		SmokeTest	1569854229182	1569854230337	OK	 
USER	SmokeTest	50	END	1569854229180	1569854230339
USER	SmokeTest	60	START	1569854230357	1569854230357
REQUEST	52		SmokeTest	1569854229431	1569854230388	OK	 
USER	SmokeTest	52	END	1569854229430	1569854230389
USER	SmokeTest	61	START	1569854230467	1569854230467
REQUEST	53		SmokeTest	1569854229561	1569854230494	OK	 
USER	SmokeTest	53	END	1569854229558	1569854230496
USER	SmokeTest	62	START	1569854230587	1569854230587
REQUEST	55		SmokeTest	1569854229803	1569854230697	OK	 
REQUEST	54		SmokeTest	1569854229690	1569854230698	OK	 
USER	SmokeTest	54	END	1569854229683	1569854230700
USER	SmokeTest	55	END	1569854229802	1569854230701
USER	SmokeTest	63	START	1569854230705	1569854230705
REQUEST	56		SmokeTest	1569854229923	1569854230782	OK	 
USER	SmokeTest	56	END	1569854229921	1569854230786
USER	SmokeTest	64	START	1569854230812	1569854230812
REQUEST	57		SmokeTest	1569854230032	1569854230874	OK	 
USER	SmokeTest	57	END	1569854230031	1569854230878
REQUEST	58		SmokeTest	1569854230140	1569854230886	OK	 
USER	SmokeTest	58	END	1569854230140	1569854230890
USER	SmokeTest	65	START	1569854230902	1569854230902
USER	SmokeTest	66	START	1569854231013	1569854231013
REQUEST	59		SmokeTest	1569854230247	1569854231050	OK	 
USER	SmokeTest	59	END	1569854230247	1569854231052
USER	SmokeTest	67	START	1569854231121	1569854231121
REQUEST	60		SmokeTest	1569854230358	1569854231222	OK	 
USER	SmokeTest	60	END	1569854230357	1569854231227
USER	SmokeTest	68	START	1569854231239	1569854231239
USER	SmokeTest	69	START	1569854231347	1569854231347
REQUEST	61		SmokeTest	1569854230468	1569854231385	OK	 
USER	SmokeTest	61	END	1569854230467	1569854231386
REQUEST	62		SmokeTest	1569854230591	1569854231434	OK	 
USER	SmokeTest	62	END	1569854230587	1569854231436
USER	SmokeTest	70	START	1569854231460	1569854231460
REQUEST	63		SmokeTest	1569854230708	1569854231496	OK	 
USER	SmokeTest	63	END	1569854230705	1569854231497
USER	SmokeTest	71	START	1569854231571	1569854231571
REQUEST	64		SmokeTest	1569854230815	1569854231579	OK	 
USER	SmokeTest	64	END	1569854230812	1569854231580
USER	SmokeTest	72	START	1569854231680	1569854231680
REQUEST	66		SmokeTest	1569854231015	1569854231765	OK	 
USER	SmokeTest	66	END	1569854231013	1569854231766
REQUEST	65		SmokeTest	1569854230903	1569854231783	OK	 
USER	SmokeTest	65	END	1569854230902	1569854231785
USER	SmokeTest	73	START	1569854231787	1569854231787
