RUN	Servicios.ObtenerCiudades	obtenerciudades	1569514030895	1	3.0.2
USER	SmokeTest	1	START	1569514032792	1569514032792
USER	SmokeTest	2	START	1569514033062	1569514033062
USER	SmokeTest	3	START	1569514033245	1569514033245
USER	SmokeTest	4	START	1569514033452	1569514033452
USER	SmokeTest	5	START	1569514033648	1569514033648
REQUEST	1		SmokeTest	1569514032825	1569514033753	OK	 
REQUEST	2		SmokeTest	1569514033062	1569514033779	OK	 
USER	SmokeTest	1	END	1569514032792	1569514033829
USER	SmokeTest	6	START	1569514033830	1569514033830
USER	SmokeTest	2	END	1569514033062	1569514033829
USER	SmokeTest	7	START	1569514033832	1569514033832
REQUEST	3		SmokeTest	1569514033246	1569514033946	OK	 
USER	SmokeTest	3	END	1569514033245	1569514033954
USER	SmokeTest	8	START	1569514033954	1569514033954
REQUEST	4		SmokeTest	1569514033452	1569514034247	OK	 
USER	SmokeTest	4	END	1569514033452	1569514034262
USER	SmokeTest	9	START	1569514034262	1569514034262
REQUEST	5		SmokeTest	1569514033649	1569514034435	OK	 
USER	SmokeTest	5	END	1569514033648	1569514034441
USER	SmokeTest	10	START	1569514034442	1569514034442
REQUEST	7		SmokeTest	1569514033833	1569514034540	OK	 
USER	SmokeTest	7	END	1569514033832	1569514034548
USER	SmokeTest	11	START	1569514034549	1569514034549
REQUEST	6		SmokeTest	1569514033831	1569514034709	OK	 
USER	SmokeTest	6	END	1569514033830	1569514034722
USER	SmokeTest	12	START	1569514034723	1569514034723
REQUEST	8		SmokeTest	1569514033955	1569514034827	OK	 
USER	SmokeTest	8	END	1569514033954	1569514034833
USER	SmokeTest	13	START	1569514034833	1569514034833
REQUEST	9		SmokeTest	1569514034263	1569514035072	OK	 
USER	SmokeTest	9	END	1569514034262	1569514035088
USER	SmokeTest	14	START	1569514035089	1569514035089
REQUEST	10		SmokeTest	1569514034442	1569514035197	OK	 
USER	SmokeTest	10	END	1569514034442	1569514035202
USER	SmokeTest	15	START	1569514035202	1569514035202
REQUEST	11		SmokeTest	1569514034550	1569514035256	OK	 
USER	SmokeTest	11	END	1569514034549	1569514035263
USER	SmokeTest	16	START	1569514035263	1569514035263
REQUEST	13		SmokeTest	1569514034833	1569514035531	OK	 
REQUEST	12		SmokeTest	1569514034724	1569514035565	OK	 
USER	SmokeTest	13	END	1569514034833	1569514035572
USER	SmokeTest	17	START	1569514035573	1569514035573
USER	SmokeTest	12	END	1569514034723	1569514035576
USER	SmokeTest	18	START	1569514035576	1569514035576
REQUEST	14		SmokeTest	1569514035089	1569514035782	OK	 
USER	SmokeTest	14	END	1569514035089	1569514035788
USER	SmokeTest	19	START	1569514035789	1569514035789
REQUEST	15		SmokeTest	1569514035203	1569514035886	OK	 
USER	SmokeTest	15	END	1569514035202	1569514035891
USER	SmokeTest	20	START	1569514035891	1569514035891
REQUEST	16		SmokeTest	1569514035264	1569514035966	OK	 
USER	SmokeTest	16	END	1569514035263	1569514035975
USER	SmokeTest	21	START	1569514035976	1569514035976
REQUEST	18		SmokeTest	1569514035576	1569514036257	OK	 
USER	SmokeTest	18	END	1569514035576	1569514036274
USER	SmokeTest	22	START	1569514036277	1569514036277
REQUEST	17		SmokeTest	1569514035574	1569514036287	OK	 
USER	SmokeTest	17	END	1569514035573	1569514036296
USER	SmokeTest	23	START	1569514036297	1569514036297
REQUEST	19		SmokeTest	1569514035790	1569514036577	OK	 
USER	SmokeTest	19	END	1569514035789	1569514036589
USER	SmokeTest	24	START	1569514036590	1569514036590
REQUEST	20		SmokeTest	1569514035892	1569514036642	OK	 
USER	SmokeTest	20	END	1569514035891	1569514036646
USER	SmokeTest	25	START	1569514036646	1569514036646
REQUEST	21		SmokeTest	1569514035978	1569514036672	OK	 
USER	SmokeTest	21	END	1569514035976	1569514036676
USER	SmokeTest	26	START	1569514036677	1569514036677
REQUEST	22		SmokeTest	1569514036285	1569514036984	OK	 
USER	SmokeTest	22	END	1569514036277	1569514036990
USER	SmokeTest	27	START	1569514036990	1569514036990
REQUEST	23		SmokeTest	1569514036299	1569514037140	OK	 
USER	SmokeTest	23	END	1569514036297	1569514037160
USER	SmokeTest	28	START	1569514037161	1569514037161
REQUEST	24		SmokeTest	1569514036590	1569514037357	OK	 
REQUEST	25		SmokeTest	1569514036647	1569514037360	OK	 
USER	SmokeTest	24	END	1569514036590	1569514037377
USER	SmokeTest	29	START	1569514037382	1569514037382
USER	SmokeTest	25	END	1569514036646	1569514037387
USER	SmokeTest	30	START	1569514037390	1569514037390
REQUEST	26		SmokeTest	1569514036677	1569514037391	OK	 
USER	SmokeTest	26	END	1569514036677	1569514037399
USER	SmokeTest	31	START	1569514037400	1569514037400
REQUEST	27		SmokeTest	1569514036991	1569514037712	OK	 
USER	SmokeTest	27	END	1569514036990	1569514037717
USER	SmokeTest	32	START	1569514037718	1569514037718
USER	SmokeTest	33	START	1569514037801	1569514037801
REQUEST	28		SmokeTest	1569514037163	1569514037953	OK	 
USER	SmokeTest	28	END	1569514037161	1569514037962
USER	SmokeTest	34	START	1569514037963	1569514037963
REQUEST	30		SmokeTest	1569514037391	1569514038086	OK	 
USER	SmokeTest	30	END	1569514037390	1569514038092
USER	SmokeTest	35	START	1569514038092	1569514038092
REQUEST	29		SmokeTest	1569514037387	1569514038096	OK	 
USER	SmokeTest	29	END	1569514037382	1569514038101
USER	SmokeTest	36	START	1569514038102	1569514038102
REQUEST	31		SmokeTest	1569514037400	1569514038188	OK	 
USER	SmokeTest	31	END	1569514037400	1569514038194
USER	SmokeTest	37	START	1569514038195	1569514038195
REQUEST	32		SmokeTest	1569514037718	1569514038425	OK	 
USER	SmokeTest	32	END	1569514037718	1569514038430
USER	SmokeTest	38	START	1569514038430	1569514038430
REQUEST	34		SmokeTest	1569514037963	1569514038673	OK	 
USER	SmokeTest	34	END	1569514037963	1569514038678
USER	SmokeTest	39	START	1569514038678	1569514038678
REQUEST	36		SmokeTest	1569514038102	1569514038798	OK	 
USER	SmokeTest	36	END	1569514038102	1569514038803
USER	SmokeTest	40	START	1569514038804	1569514038804
REQUEST	33		SmokeTest	1569514037802	1569514038873	OK	 
REQUEST	35		SmokeTest	1569514038093	1569514038875	OK	 
USER	SmokeTest	33	END	1569514037801	1569514038878
USER	SmokeTest	41	START	1569514038879	1569514038879
USER	SmokeTest	35	END	1569514038092	1569514038881
USER	SmokeTest	42	START	1569514038882	1569514038882
REQUEST	38		SmokeTest	1569514038431	1569514039127	OK	 
USER	SmokeTest	38	END	1569514038430	1569514039132
USER	SmokeTest	43	START	1569514039132	1569514039132
REQUEST	37		SmokeTest	1569514038196	1569514039148	OK	 
USER	SmokeTest	37	END	1569514038195	1569514039153
USER	SmokeTest	44	START	1569514039153	1569514039153
REQUEST	39		SmokeTest	1569514038679	1569514039362	OK	 
USER	SmokeTest	39	END	1569514038678	1569514039368
USER	SmokeTest	45	START	1569514039368	1569514039368
REQUEST	40		SmokeTest	1569514038804	1569514039485	OK	 
USER	SmokeTest	40	END	1569514038804	1569514039491
USER	SmokeTest	46	START	1569514039491	1569514039491
REQUEST	42		SmokeTest	1569514038882	1569514039581	OK	 
USER	SmokeTest	42	END	1569514038882	1569514039586
USER	SmokeTest	47	START	1569514039586	1569514039586
REQUEST	41		SmokeTest	1569514038879	1569514039596	OK	 
USER	SmokeTest	41	END	1569514038879	1569514039601
USER	SmokeTest	48	START	1569514039602	1569514039602
REQUEST	43		SmokeTest	1569514039132	1569514039815	OK	 
USER	SmokeTest	43	END	1569514039132	1569514039821
USER	SmokeTest	49	START	1569514039829	1569514039829
REQUEST	44		SmokeTest	1569514039154	1569514039918	OK	 
USER	SmokeTest	44	END	1569514039153	1569514039924
USER	SmokeTest	50	START	1569514039924	1569514039924
REQUEST	45		SmokeTest	1569514039369	1569514040135	OK	 
USER	SmokeTest	45	END	1569514039368	1569514040139
USER	SmokeTest	51	START	1569514040139	1569514040139
REQUEST	46		SmokeTest	1569514039492	1569514040265	OK	 
USER	SmokeTest	46	END	1569514039491	1569514040270
USER	SmokeTest	52	START	1569514040270	1569514040270
REQUEST	48		SmokeTest	1569514039602	1569514040376	OK	 
USER	SmokeTest	48	END	1569514039602	1569514040381
USER	SmokeTest	53	START	1569514040381	1569514040381
REQUEST	49		SmokeTest	1569514039829	1569514040590	OK	 
USER	SmokeTest	49	END	1569514039829	1569514040598
USER	SmokeTest	54	START	1569514040598	1569514040598
REQUEST	47		SmokeTest	1569514039587	1569514040625	OK	 
USER	SmokeTest	47	END	1569514039586	1569514040631
USER	SmokeTest	55	START	1569514040631	1569514040631
REQUEST	50		SmokeTest	1569514039925	1569514040698	OK	 
USER	SmokeTest	50	END	1569514039924	1569514040702
USER	SmokeTest	56	START	1569514040703	1569514040703
REQUEST	51		SmokeTest	1569514040140	1569514040833	OK	 
USER	SmokeTest	51	END	1569514040139	1569514040838
USER	SmokeTest	57	START	1569514040838	1569514040838
REQUEST	52		SmokeTest	1569514040270	1569514040954	OK	 
USER	SmokeTest	52	END	1569514040270	1569514040971
USER	SmokeTest	58	START	1569514040972	1569514040972
REQUEST	53		SmokeTest	1569514040382	1569514041165	OK	 
USER	SmokeTest	53	END	1569514040381	1569514041171
USER	SmokeTest	59	START	1569514041171	1569514041171
REQUEST	56		SmokeTest	1569514040703	1569514041486	OK	 
