RUN	Servicios.ObtenerCiudades	obtenerciudades	1569618175525	 	3.0.2
USER	SmokeTest	42	START	1569618185337	1569618185337
REQUEST	38		SmokeTest	1569618184816	1569618185539	OK	 
USER	SmokeTest	38	END	1569618184815	1569618185562
USER	SmokeTest	43	START	1569618185566	1569618185566
REQUEST	37		SmokeTest	1569618184753	1569618185614	OK	 
USER	SmokeTest	37	END	1569618184752	1569618185619
USER	SmokeTest	44	START	1569618185619	1569618185619
REQUEST	39		SmokeTest	1569618184851	1569618185641	OK	 
USER	SmokeTest	39	END	1569618184850	1569618185664
USER	SmokeTest	45	START	1569618185670	1569618185670
REQUEST	40		SmokeTest	1569618185115	1569618185866	OK	 
USER	SmokeTest	40	END	1569618185115	1569618185872
USER	SmokeTest	46	START	1569618185873	1569618185873
REQUEST	41		SmokeTest	1569618185150	1569618185975	OK	 
USER	SmokeTest	41	END	1569618185149	1569618185983
USER	SmokeTest	47	START	1569618185983	1569618185983
REQUEST	42		SmokeTest	1569618185338	1569618186259	OK	 
USER	SmokeTest	42	END	1569618185337	1569618186271
USER	SmokeTest	48	START	1569618186272	1569618186272
REQUEST	44		SmokeTest	1569618185619	1569618186362	OK	 
USER	SmokeTest	44	END	1569618185619	1569618186380
USER	SmokeTest	49	START	1569618186380	1569618186380
REQUEST	43		SmokeTest	1569618185567	1569618186447	OK	 
USER	SmokeTest	43	END	1569618185566	1569618186470
USER	SmokeTest	50	START	1569618186472	1569618186472
REQUEST	45		SmokeTest	1569618185672	1569618186540	OK	 
USER	SmokeTest	45	END	1569618185670	1569618186545
USER	SmokeTest	51	START	1569618186545	1569618186545
REQUEST	46		SmokeTest	1569618185874	1569618186580	OK	 
USER	SmokeTest	46	END	1569618185873	1569618186589
USER	SmokeTest	52	START	1569618186591	1569618186591
REQUEST	47		SmokeTest	1569618185984	1569618186744	OK	 
USER	SmokeTest	47	END	1569618185983	1569618186754
USER	SmokeTest	53	START	1569618186755	1569618186755
REQUEST	49		SmokeTest	1569618186381	1569618187080	OK	 
USER	SmokeTest	49	END	1569618186380	1569618187102
USER	SmokeTest	54	START	1569618187106	1569618187106
REQUEST	50		SmokeTest	1569618186474	1569618187213	OK	 
USER	SmokeTest	50	END	1569618186472	1569618187225
REQUEST	48		SmokeTest	1569618186274	1569618187210	OK	 
USER	SmokeTest	55	START	1569618187226	1569618187226
USER	SmokeTest	48	END	1569618186272	1569618187230
USER	SmokeTest	56	START	1569618187233	1569618187233
REQUEST	51		SmokeTest	1569618186546	1569618187315	OK	 
USER	SmokeTest	51	END	1569618186545	1569618187323
USER	SmokeTest	57	START	1569618187326	1569618187326
REQUEST	52		SmokeTest	1569618186592	1569618187348	OK	 
USER	SmokeTest	52	END	1569618186591	1569618187353
USER	SmokeTest	58	START	1569618187353	1569618187353
REQUEST	53		SmokeTest	1569618186756	1569618187768	OK	 
USER	SmokeTest	53	END	1569618186755	1569618187797
USER	SmokeTest	59	START	1569618187798	1569618187798
REQUEST	55		SmokeTest	1569618187231	1569618188013	OK	 
USER	SmokeTest	55	END	1569618187226	1569618188020
USER	SmokeTest	60	START	1569618188022	1569618188022
REQUEST	54		SmokeTest	1569618187110	1569618188105	OK	 
USER	SmokeTest	54	END	1569618187106	1569618188110
USER	SmokeTest	61	START	1569618188110	1569618188110
REQUEST	57		SmokeTest	1569618187326	1569618188117	OK	 
USER	SmokeTest	57	END	1569618187326	1569618188124
USER	SmokeTest	62	START	1569618188124	1569618188124
REQUEST	56		SmokeTest	1569618187238	1569618189624	OK	 
USER	SmokeTest	56	END	1569618187233	1569618189633
