RUN	Servicios.ObtenerCiudades	obtenerciudades	1569622014437	 	3.0.2
USER	SmokeTest	1	START	1569622016361	1569622016361
USER	SmokeTest	2	START	1569622016614	1569622016614
USER	SmokeTest	3	START	1569622016812	1569622016812
USER	SmokeTest	4	START	1569622017015	1569622017015
USER	SmokeTest	5	START	1569622017212	1569622017212
REQUEST	2		SmokeTest	1569622016615	1569622017564	OK	 
REQUEST	3		SmokeTest	1569622016813	1569622017595	OK	 
USER	SmokeTest	3	END	1569622016812	1569622017618
USER	SmokeTest	6	START	1569622017619	1569622017619
USER	SmokeTest	2	END	1569622016614	1569622017618
USER	SmokeTest	7	START	1569622017621	1569622017621
REQUEST	1		SmokeTest	1569622016394	1569622017814	OK	 
USER	SmokeTest	1	END	1569622016361	1569622017848
USER	SmokeTest	8	START	1569622017848	1569622017848
REQUEST	4		SmokeTest	1569622017016	1569622017904	OK	 
USER	SmokeTest	4	END	1569622017015	1569622017906
USER	SmokeTest	9	START	1569622017906	1569622017906
REQUEST	5		SmokeTest	1569622017214	1569622018242	OK	 
USER	SmokeTest	5	END	1569622017212	1569622018248
USER	SmokeTest	10	START	1569622018250	1569622018250
REQUEST	6		SmokeTest	1569622017620	1569622018628	OK	 
USER	SmokeTest	6	END	1569622017619	1569622018633
USER	SmokeTest	11	START	1569622018634	1569622018634
REQUEST	7		SmokeTest	1569622017622	1569622018718	OK	 
USER	SmokeTest	7	END	1569622017621	1569622018724
USER	SmokeTest	12	START	1569622018726	1569622018726
REQUEST	8		SmokeTest	1569622017849	1569622018765	OK	 
USER	SmokeTest	8	END	1569622017848	1569622018771
USER	SmokeTest	13	START	1569622018779	1569622018779
REQUEST	10		SmokeTest	1569622018252	1569622019042	OK	 
USER	SmokeTest	10	END	1569622018250	1569622019074
USER	SmokeTest	14	START	1569622019074	1569622019074
REQUEST	11		SmokeTest	1569622018636	1569622019451	OK	 
USER	SmokeTest	11	END	1569622018634	1569622019452
USER	SmokeTest	15	START	1569622019453	1569622019453
REQUEST	12		SmokeTest	1569622018727	1569622019487	OK	 
USER	SmokeTest	12	END	1569622018726	1569622019489
USER	SmokeTest	16	START	1569622019489	1569622019489
REQUEST	13		SmokeTest	1569622018781	1569622019777	OK	 
USER	SmokeTest	13	END	1569622018779	1569622019779
USER	SmokeTest	17	START	1569622019780	1569622019780
REQUEST	14		SmokeTest	1569622019075	1569622020166	OK	 
USER	SmokeTest	14	END	1569622019074	1569622020168
USER	SmokeTest	18	START	1569622020168	1569622020168
REQUEST	15		SmokeTest	1569622019454	1569622020413	OK	 
USER	SmokeTest	15	END	1569622019453	1569622020415
USER	SmokeTest	19	START	1569622020415	1569622020415
REQUEST	16		SmokeTest	1569622019490	1569622020421	OK	 
USER	SmokeTest	16	END	1569622019489	1569622020422
USER	SmokeTest	20	START	1569622020423	1569622020423
REQUEST	17		SmokeTest	1569622019781	1569622020728	OK	 
USER	SmokeTest	17	END	1569622019780	1569622020730
USER	SmokeTest	21	START	1569622020730	1569622020730
REQUEST	9		SmokeTest	1569622017907	1569622021047	OK	 
USER	SmokeTest	9	END	1569622017906	1569622021049
USER	SmokeTest	22	START	1569622021049	1569622021049
REQUEST	20		SmokeTest	1569622020424	1569622021433	OK	 
USER	SmokeTest	20	END	1569622020423	1569622021434
USER	SmokeTest	23	START	1569622021434	1569622021434
REQUEST	18		SmokeTest	1569622020169	1569622021509	OK	 
USER	SmokeTest	18	END	1569622020168	1569622021510
USER	SmokeTest	24	START	1569622021511	1569622021511
REQUEST	19		SmokeTest	1569622020416	1569622021520	OK	 
USER	SmokeTest	19	END	1569622020415	1569622021521
USER	SmokeTest	25	START	1569622021522	1569622021522
REQUEST	21		SmokeTest	1569622020731	1569622021643	OK	 
USER	SmokeTest	21	END	1569622020730	1569622021646
USER	SmokeTest	26	START	1569622021649	1569622021649
REQUEST	22		SmokeTest	1569622021049	1569622021962	OK	 
USER	SmokeTest	22	END	1569622021049	1569622021963
USER	SmokeTest	27	START	1569622021964	1569622021964
REQUEST	23		SmokeTest	1569622021435	1569622022169	OK	 
USER	SmokeTest	23	END	1569622021434	1569622022171
USER	SmokeTest	28	START	1569622022171	1569622022171
REQUEST	24		SmokeTest	1569622021512	1569622022250	OK	 
USER	SmokeTest	24	END	1569622021511	1569622022252
USER	SmokeTest	29	START	1569622022252	1569622022252
REQUEST	25		SmokeTest	1569622021522	1569622022443	OK	 
USER	SmokeTest	25	END	1569622021522	1569622022445
USER	SmokeTest	30	START	1569622022445	1569622022445
REQUEST	26		SmokeTest	1569622021650	1569622022465	OK	 
USER	SmokeTest	26	END	1569622021649	1569622022466
USER	SmokeTest	31	START	1569622022466	1569622022466
REQUEST	27		SmokeTest	1569622021965	1569622022711	OK	 
USER	SmokeTest	27	END	1569622021964	1569622022712
USER	SmokeTest	32	START	1569622022712	1569622022712
REQUEST	28		SmokeTest	1569622022172	1569622022980	OK	 
USER	SmokeTest	28	END	1569622022171	1569622022982
USER	SmokeTest	33	START	1569622022982	1569622022982
REQUEST	29		SmokeTest	1569622022253	1569622023043	OK	 
USER	SmokeTest	29	END	1569622022252	1569622023046
USER	SmokeTest	34	START	1569622023046	1569622023046
REQUEST	30		SmokeTest	1569622022445	1569622023172	OK	 
USER	SmokeTest	30	END	1569622022445	1569622023174
USER	SmokeTest	35	START	1569622023175	1569622023175
REQUEST	31		SmokeTest	1569622022467	1569622023274	OK	 
USER	SmokeTest	31	END	1569622022466	1569622023275
USER	SmokeTest	36	START	1569622023275	1569622023275
REQUEST	32		SmokeTest	1569622022713	1569622023429	OK	 
USER	SmokeTest	32	END	1569622022712	1569622023431
USER	SmokeTest	37	START	1569622023431	1569622023431
REQUEST	33		SmokeTest	1569622022983	1569622023695	OK	 
USER	SmokeTest	33	END	1569622022982	1569622023698
USER	SmokeTest	38	START	1569622023698	1569622023698
REQUEST	35		SmokeTest	1569622023175	1569622023878	OK	 
USER	SmokeTest	35	END	1569622023175	1569622023880
USER	SmokeTest	39	START	1569622023880	1569622023880
REQUEST	34		SmokeTest	1569622023048	1569622023984	OK	 
USER	SmokeTest	34	END	1569622023046	1569622023986
USER	SmokeTest	40	START	1569622023986	1569622023986
REQUEST	36		SmokeTest	1569622023276	1569622024091	OK	 
USER	SmokeTest	36	END	1569622023275	1569622024094
USER	SmokeTest	41	START	1569622024095	1569622024095
REQUEST	37		SmokeTest	1569622023432	1569622024182	OK	 
USER	SmokeTest	37	END	1569622023431	1569622024183
USER	SmokeTest	42	START	1569622024183	1569622024183
REQUEST	38		SmokeTest	1569622023700	1569622024501	OK	 
USER	SmokeTest	38	END	1569622023698	1569622024503
USER	SmokeTest	43	START	1569622024503	1569622024503
REQUEST	39		SmokeTest	1569622023882	1569622024621	OK	 
USER	SmokeTest	39	END	1569622023880	1569622024623
USER	SmokeTest	44	START	1569622024623	1569622024623
REQUEST	42		SmokeTest	1569622024184	1569622025103	OK	 
REQUEST	40		SmokeTest	1569622023987	1569622025104	OK	 
USER	SmokeTest	42	END	1569622024183	1569622025107
