RUN	Servicios.ObtenerCiudades	obtenerciudades	1569850843199	 	3.0.2
USER	SmokeTest	1	START	1569850847156	1569850847156
USER	SmokeTest	2	START	1569850847416	1569850847416
USER	SmokeTest	3	START	1569850847619	1569850847619
USER	SmokeTest	4	START	1569850847822	1569850847822
USER	SmokeTest	5	START	1569850848013	1569850848013
REQUEST	3		SmokeTest	1569850847620	1569850848930	OK	 
REQUEST	1		SmokeTest	1569850847195	1569850848876	OK	 
USER	SmokeTest	1	END	1569850847156	1569850848952
USER	SmokeTest	6	START	1569850848953	1569850848953
USER	SmokeTest	3	END	1569850847619	1569850848952
USER	SmokeTest	7	START	1569850848954	1569850848954
REQUEST	2		SmokeTest	1569850847418	1569850849001	OK	 
USER	SmokeTest	2	END	1569850847416	1569850849002
USER	SmokeTest	8	START	1569850849003	1569850849003
REQUEST	4		SmokeTest	1569850847823	1569850849244	OK	 
USER	SmokeTest	4	END	1569850847822	1569850849245
USER	SmokeTest	9	START	1569850849246	1569850849246
REQUEST	5		SmokeTest	1569850848014	1569850849412	OK	 
USER	SmokeTest	5	END	1569850848013	1569850849418
USER	SmokeTest	10	START	1569850849420	1569850849420
REQUEST	6		SmokeTest	1569850848953	1569850849806	OK	 
USER	SmokeTest	6	END	1569850848953	1569850849808
USER	SmokeTest	11	START	1569850849808	1569850849808
REQUEST	7		SmokeTest	1569850848955	1569850849829	OK	 
USER	SmokeTest	7	END	1569850848954	1569850849831
USER	SmokeTest	12	START	1569850849831	1569850849831
REQUEST	8		SmokeTest	1569850849004	1569850849886	OK	 
USER	SmokeTest	8	END	1569850849003	1569850849888
USER	SmokeTest	13	START	1569850849889	1569850849889
REQUEST	9		SmokeTest	1569850849246	1569850850017	OK	 
USER	SmokeTest	9	END	1569850849246	1569850850019
USER	SmokeTest	14	START	1569850850020	1569850850020
REQUEST	10		SmokeTest	1569850849422	1569850850203	OK	 
USER	SmokeTest	10	END	1569850849420	1569850850204
USER	SmokeTest	15	START	1569850850205	1569850850205
REQUEST	11		SmokeTest	1569850849808	1569850850568	OK	 
USER	SmokeTest	11	END	1569850849808	1569850850570
USER	SmokeTest	16	START	1569850850570	1569850850570
REQUEST	12		SmokeTest	1569850849831	1569850850611	OK	 
USER	SmokeTest	12	END	1569850849831	1569850850622
USER	SmokeTest	17	START	1569850850622	1569850850622
REQUEST	14		SmokeTest	1569850850020	1569850850810	OK	 
USER	SmokeTest	14	END	1569850850020	1569850850812
USER	SmokeTest	18	START	1569850850812	1569850850812
REQUEST	15		SmokeTest	1569850850205	1569850851047	OK	 
USER	SmokeTest	15	END	1569850850205	1569850851050
USER	SmokeTest	19	START	1569850851050	1569850851050
REQUEST	13		SmokeTest	1569850849890	1569850851172	OK	 
USER	SmokeTest	13	END	1569850849889	1569850851173
USER	SmokeTest	20	START	1569850851174	1569850851174
REQUEST	16		SmokeTest	1569850850571	1569850851442	OK	 
USER	SmokeTest	16	END	1569850850570	1569850851444
USER	SmokeTest	21	START	1569850851444	1569850851444
REQUEST	18		SmokeTest	1569850850813	1569850851592	OK	 
USER	SmokeTest	18	END	1569850850812	1569850851593
USER	SmokeTest	22	START	1569850851593	1569850851593
REQUEST	17		SmokeTest	1569850850622	1569850851690	OK	 
USER	SmokeTest	17	END	1569850850622	1569850851692
USER	SmokeTest	23	START	1569850851692	1569850851692
REQUEST	19		SmokeTest	1569850851051	1569850851887	OK	 
USER	SmokeTest	19	END	1569850851050	1569850851888
USER	SmokeTest	24	START	1569850851889	1569850851889
REQUEST	20		SmokeTest	1569850851175	1569850851922	OK	 
USER	SmokeTest	20	END	1569850851174	1569850851923
USER	SmokeTest	25	START	1569850851924	1569850851924
USER	SmokeTest	26	START	1569850852154	1569850852154
REQUEST	21		SmokeTest	1569850851445	1569850852201	OK	 
USER	SmokeTest	21	END	1569850851444	1569850852202
USER	SmokeTest	27	START	1569850852203	1569850852203
REQUEST	22		SmokeTest	1569850851594	1569850852455	OK	 
USER	SmokeTest	22	END	1569850851593	1569850852457
USER	SmokeTest	28	START	1569850852457	1569850852457
REQUEST	23		SmokeTest	1569850851693	1569850852540	OK	 
USER	SmokeTest	23	END	1569850851692	1569850852542
USER	SmokeTest	29	START	1569850852542	1569850852542
REQUEST	24		SmokeTest	1569850851889	1569850852702	OK	 
USER	SmokeTest	24	END	1569850851889	1569850852704
USER	SmokeTest	30	START	1569850852704	1569850852704
REQUEST	25		SmokeTest	1569850851924	1569850852852	OK	 
USER	SmokeTest	25	END	1569850851924	1569850852855
USER	SmokeTest	31	START	1569850852856	1569850852856
REQUEST	27		SmokeTest	1569850852203	1569850852992	OK	 
USER	SmokeTest	27	END	1569850852203	1569850852994
USER	SmokeTest	32	START	1569850852994	1569850852994
REQUEST	26		SmokeTest	1569850852155	1569850853090	OK	 
USER	SmokeTest	26	END	1569850852154	1569850853091
USER	SmokeTest	33	START	1569850853091	1569850853091
REQUEST	28		SmokeTest	1569850852458	1569850853389	OK	 
USER	SmokeTest	28	END	1569850852457	1569850853390
USER	SmokeTest	34	START	1569850853390	1569850853390
REQUEST	30		SmokeTest	1569850852704	1569850853547	OK	 
USER	SmokeTest	30	END	1569850852704	1569850853548
USER	SmokeTest	35	START	1569850853549	1569850853549
REQUEST	29		SmokeTest	1569850852544	1569850853698	OK	 
USER	SmokeTest	29	END	1569850852542	1569850853699
USER	SmokeTest	36	START	1569850853699	1569850853699
REQUEST	31		SmokeTest	1569850852857	1569850853778	OK	 
USER	SmokeTest	31	END	1569850852856	1569850853779
USER	SmokeTest	37	START	1569850853780	1569850853780
REQUEST	33		SmokeTest	1569850853092	1569850853924	OK	 
USER	SmokeTest	33	END	1569850853091	1569850853926
USER	SmokeTest	38	START	1569850853926	1569850853926
REQUEST	32		SmokeTest	1569850852995	1569850854014	OK	 
USER	SmokeTest	32	END	1569850852994	1569850854015
USER	SmokeTest	39	START	1569850854015	1569850854015
REQUEST	34		SmokeTest	1569850853391	1569850854227	OK	 
USER	SmokeTest	34	END	1569850853390	1569850854229
USER	SmokeTest	40	START	1569850854229	1569850854229
REQUEST	35		SmokeTest	1569850853550	1569850854314	OK	 
USER	SmokeTest	35	END	1569850853549	1569850854315
USER	SmokeTest	41	START	1569850854316	1569850854316
REQUEST	36		SmokeTest	1569850853700	1569850854517	OK	 
USER	SmokeTest	36	END	1569850853699	1569850854518
USER	SmokeTest	42	START	1569850854519	1569850854519
REQUEST	37		SmokeTest	1569850853780	1569850854581	OK	 
USER	SmokeTest	37	END	1569850853780	1569850854583
USER	SmokeTest	43	START	1569850854583	1569850854583
REQUEST	38		SmokeTest	1569850853927	1569850854729	OK	 
USER	SmokeTest	38	END	1569850853926	1569850854734
USER	SmokeTest	44	START	1569850854736	1569850854736
REQUEST	40		SmokeTest	1569850854230	1569850855001	OK	 
USER	SmokeTest	40	END	1569850854229	1569850855003
USER	SmokeTest	45	START	1569850855003	1569850855003
REQUEST	39		SmokeTest	1569850854016	1569850855118	OK	 
USER	SmokeTest	39	END	1569850854015	1569850855120
USER	SmokeTest	46	START	1569850855121	1569850855121
REQUEST	41		SmokeTest	1569850854316	1569850855132	OK	 
USER	SmokeTest	41	END	1569850854316	1569850855134
USER	SmokeTest	47	START	1569850855134	1569850855134
REQUEST	43		SmokeTest	1569850854584	1569850855372	OK	 
