RUN	Servicios.ObtenerCiudades	obtenerciudades	1569512381723	NA	3.0.2
USER	SmokeTest	42	START	1569512389752	1569512389752
REQUEST	35		SmokeTest	1569512388975	1569512389767	OK	 
USER	SmokeTest	35	END	1569512388975	1569512389768
USER	SmokeTest	43	START	1569512389768	1569512389768
REQUEST	38		SmokeTest	1569512389189	1569512389877	OK	 
USER	SmokeTest	38	END	1569512389188	1569512389878
USER	SmokeTest	44	START	1569512389879	1569512389879
REQUEST	39		SmokeTest	1569512389364	1569512390140	OK	 
USER	SmokeTest	39	END	1569512389363	1569512390142
USER	SmokeTest	45	START	1569512390142	1569512390142
REQUEST	40		SmokeTest	1569512389614	1569512390374	OK	 
USER	SmokeTest	40	END	1569512389613	1569512390375
USER	SmokeTest	46	START	1569512390375	1569512390375
REQUEST	41		SmokeTest	1569512389725	1569512390408	OK	 
USER	SmokeTest	41	END	1569512389724	1569512390410
USER	SmokeTest	47	START	1569512390410	1569512390410
REQUEST	42		SmokeTest	1569512389753	1569512390522	OK	 
USER	SmokeTest	42	END	1569512389752	1569512390524
USER	SmokeTest	48	START	1569512390524	1569512390524
REQUEST	43		SmokeTest	1569512389769	1569512390541	OK	 
USER	SmokeTest	43	END	1569512389768	1569512390542
USER	SmokeTest	49	START	1569512390543	1569512390543
REQUEST	44		SmokeTest	1569512389879	1569512390553	OK	 
USER	SmokeTest	44	END	1569512389879	1569512390555
USER	SmokeTest	50	START	1569512390555	1569512390555
REQUEST	45		SmokeTest	1569512390142	1569512390862	OK	 
USER	SmokeTest	45	END	1569512390142	1569512390864
USER	SmokeTest	51	START	1569512390866	1569512390866
REQUEST	46		SmokeTest	1569512390376	1569512391070	OK	 
USER	SmokeTest	46	END	1569512390375	1569512391071
USER	SmokeTest	52	START	1569512391072	1569512391072
REQUEST	47		SmokeTest	1569512390410	1569512391103	OK	 
USER	SmokeTest	47	END	1569512390410	1569512391104
USER	SmokeTest	53	START	1569512391104	1569512391104
REQUEST	49		SmokeTest	1569512390544	1569512391250	OK	 
USER	SmokeTest	49	END	1569512390543	1569512391251
USER	SmokeTest	54	START	1569512391252	1569512391252
REQUEST	48		SmokeTest	1569512390525	1569512391308	OK	 
USER	SmokeTest	48	END	1569512390524	1569512391309
USER	SmokeTest	55	START	1569512391309	1569512391309
REQUEST	50		SmokeTest	1569512390555	1569512391326	OK	 
USER	SmokeTest	50	END	1569512390555	1569512391327
USER	SmokeTest	56	START	1569512391328	1569512391328
REQUEST	51		SmokeTest	1569512390874	1569512391647	OK	 
USER	SmokeTest	51	END	1569512390866	1569512391648
USER	SmokeTest	57	START	1569512391649	1569512391649
REQUEST	53		SmokeTest	1569512391105	1569512391782	OK	 
USER	SmokeTest	53	END	1569512391104	1569512391783
USER	SmokeTest	58	START	1569512391784	1569512391784
REQUEST	52		SmokeTest	1569512391072	1569512391877	OK	 
USER	SmokeTest	52	END	1569512391072	1569512391878
USER	SmokeTest	59	START	1569512391878	1569512391878
REQUEST	56		SmokeTest	1569512391328	1569512392026	OK	 
USER	SmokeTest	56	END	1569512391328	1569512392028
USER	SmokeTest	60	START	1569512392029	1569512392029
REQUEST	54		SmokeTest	1569512391252	1569512392058	OK	 
USER	SmokeTest	54	END	1569512391252	1569512392059
USER	SmokeTest	61	START	1569512392059	1569512392059
REQUEST	55		SmokeTest	1569512391310	1569512392084	OK	 
USER	SmokeTest	55	END	1569512391309	1569512392085
USER	SmokeTest	62	START	1569512392086	1569512392086
REQUEST	58		SmokeTest	1569512391786	1569512392484	OK	 
USER	SmokeTest	58	END	1569512391784	1569512392485
USER	SmokeTest	63	START	1569512392485	1569512392485
REQUEST	59		SmokeTest	1569512391879	1569512392559	OK	 
USER	SmokeTest	59	END	1569512391878	1569512392561
USER	SmokeTest	64	START	1569512392562	1569512392562
REQUEST	57		SmokeTest	1569512391650	1569512392587	OK	 
USER	SmokeTest	57	END	1569512391649	1569512392588
USER	SmokeTest	65	START	1569512392588	1569512392588
REQUEST	60		SmokeTest	1569512392029	1569512392786	OK	 
USER	SmokeTest	60	END	1569512392029	1569512392788
USER	SmokeTest	66	START	1569512392788	1569512392788
REQUEST	61		SmokeTest	1569512392059	1569512392824	OK	 
USER	SmokeTest	61	END	1569512392059	1569512392825
USER	SmokeTest	67	START	1569512392825	1569512392825
REQUEST	62		SmokeTest	1569512392086	1569512392849	OK	 
