RUN	Servicios.ObtenerCiudades	obtenerciudades	1569513747306	1	3.0.2
USER	SmokeTest	1	START	1569513749212	1569513749212
USER	SmokeTest	2	START	1569513749470	1569513749470
USER	SmokeTest	3	START	1569513749666	1569513749666
USER	SmokeTest	4	START	1569513749880	1569513749880
USER	SmokeTest	5	START	1569513750077	1569513750077
REQUEST	1		SmokeTest	1569513749250	1569513750085	OK	 
USER	SmokeTest	1	END	1569513749212	1569513750138
USER	SmokeTest	6	START	1569513750140	1569513750140
REQUEST	3		SmokeTest	1569513749667	1569513750392	OK	 
USER	SmokeTest	3	END	1569513749666	1569513750394
USER	SmokeTest	7	START	1569513750395	1569513750395
REQUEST	2		SmokeTest	1569513749471	1569513750433	OK	 
USER	SmokeTest	2	END	1569513749470	1569513750435
USER	SmokeTest	8	START	1569513750435	1569513750435
REQUEST	4		SmokeTest	1569513749882	1569513750599	OK	 
USER	SmokeTest	4	END	1569513749880	1569513750601
USER	SmokeTest	9	START	1569513750601	1569513750601
REQUEST	6		SmokeTest	1569513750141	1569513750851	OK	 
USER	SmokeTest	6	END	1569513750140	1569513750852
USER	SmokeTest	10	START	1569513750853	1569513750853
REQUEST	5		SmokeTest	1569513750078	1569513751047	OK	 
USER	SmokeTest	5	END	1569513750077	1569513751050
USER	SmokeTest	11	START	1569513751052	1569513751052
REQUEST	7		SmokeTest	1569513750396	1569513751181	OK	 
REQUEST	8		SmokeTest	1569513750436	1569513751202	OK	 
USER	SmokeTest	7	END	1569513750395	1569513751203
USER	SmokeTest	12	START	1569513751204	1569513751204
USER	SmokeTest	8	END	1569513750435	1569513751204
USER	SmokeTest	13	START	1569513751205	1569513751205
REQUEST	9		SmokeTest	1569513750602	1569513751437	OK	 
USER	SmokeTest	9	END	1569513750601	1569513751439
USER	SmokeTest	14	START	1569513751440	1569513751440
REQUEST	10		SmokeTest	1569513750853	1569513751646	OK	 
USER	SmokeTest	10	END	1569513750853	1569513751648
USER	SmokeTest	15	START	1569513751649	1569513751649
REQUEST	11		SmokeTest	1569513751053	1569513751741	OK	 
USER	SmokeTest	11	END	1569513751052	1569513751743
USER	SmokeTest	16	START	1569513751743	1569513751743
REQUEST	12		SmokeTest	1569513751205	1569513751974	OK	 
USER	SmokeTest	12	END	1569513751204	1569513751977
REQUEST	13		SmokeTest	1569513751206	1569513751980	OK	 
USER	SmokeTest	17	START	1569513751978	1569513751978
USER	SmokeTest	13	END	1569513751205	1569513751982
USER	SmokeTest	18	START	1569513751982	1569513751982
REQUEST	14		SmokeTest	1569513751441	1569513752149	OK	 
USER	SmokeTest	14	END	1569513751440	1569513752150
USER	SmokeTest	19	START	1569513752151	1569513752151
REQUEST	15		SmokeTest	1569513751649	1569513752323	OK	 
